"","county","county_fips","state","fips","county_population","health_service_area_number","health_service_area","health_service_area_population"
"1","Hartley County",48205,"Texas",48205,"5,576",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"2","Warren County",28149,"Mississippi",28149,"45,381",431,"Warren, MS - Madison, LA","65,320"
"3","Amite County",28005,"Mississippi",28005,"12,297",477,"Pike, MS - Marion, MS","90,444"
"4","Hardy County",54031,"West Virginia",54031,"13,776",1,"Allegany (Cumberland), MD - Garrett, MD","151,642"
"5","Allegany County",24001,"Maryland",24001,"70,416",1,"Allegany (Cumberland), MD - Garrett, MD","151,642"
"6","Garrett County",24023,"Maryland",24023,"29,014",1,"Allegany (Cumberland), MD - Garrett, MD","151,642"
"7","Grant County",54023,"West Virginia",54023,"11,568",1,"Allegany (Cumberland), MD - Garrett, MD","151,642"
"8","Mineral County",54057,"West Virginia",54057,"26,868",1,"Allegany (Cumberland), MD - Garrett, MD","151,642"
"9","Gallatin County",21077,"Kentucky",21077,"8,869",2,"Kenton (Covington), KY - Campbell, KY","442,691"
"10","Pendleton County",21191,"Kentucky",21191,"14,590",2,"Kenton (Covington), KY - Campbell, KY","442,691"
"11","Grant County",21081,"Kentucky",21081,"25,069",2,"Kenton (Covington), KY - Campbell, KY","442,691"
"12","Kenton County",21117,"Kentucky",21117,"166,998",2,"Kenton (Covington), KY - Campbell, KY","442,691"
"13","Boone County",21015,"Kentucky",21015,"133,581",2,"Kenton (Covington), KY - Campbell, KY","442,691"
"14","Campbell County",21037,"Kentucky",21037,"93,584",2,"Kenton (Covington), KY - Campbell, KY","442,691"
"15","Windham County",9015,"Connecticut",9015,"116,782",4,"Hartford (Hartford), CT - Tolland, CT","1,159,223"
"16","Hartford County",9003,"Connecticut",9003,"891,720",4,"Hartford (Hartford), CT - Tolland, CT","1,159,223"
"17","Tolland County",9013,"Connecticut",9013,"150,721",4,"Hartford (Hartford), CT - Tolland, CT","1,159,223"
"18","Bristol County",44001,"Rhode Island",44001,"48,479",20,"Providence (Providence), RI - New London, CT","1,242,485"
"19","New London County",9011,"Connecticut",9011,"265,206",20,"Providence (Providence), RI - New London, CT","1,242,485"
"20","Kent County",44003,"Rhode Island",44003,"164,292",20,"Providence (Providence), RI - New London, CT","1,242,485"
"21","Providence County",44007,"Rhode Island",44007,"638,931",20,"Providence (Providence), RI - New London, CT","1,242,485"
"22","Washington County",44009,"Rhode Island",44009,"125,577",20,"Providence (Providence), RI - New London, CT","1,242,485"
