"state","2020-07-15","2020-07-22","2020-07-29","2020-08-05","2020-08-12","2020-08-19","2020-08-26","2020-09-02","2020-09-09","2020-09-16","2020-09-23","2020-09-30","2020-10-07","2020-10-14","2020-10-21","2020-10-28","2020-11-04","2020-11-11","2020-11-18","2020-11-25","2020-12-02","2020-12-09","2020-12-16","2020-12-23","2020-12-30","2021-01-06","2021-01-13","2021-01-20","2021-01-27","2021-02-03","2021-02-10","2021-02-17","2021-02-24","2021-03-03","2021-03-10","2021-03-17","2021-03-24","2021-03-31","2021-04-07","2021-04-14","2021-04-21","2021-04-28","2021-05-05","2021-05-12","2021-05-19","2021-05-26","2021-06-02","2021-06-09","2021-06-16","2021-06-23","2021-06-30","2021-07-07","2021-07-14","2021-07-21","2021-07-28","2021-08-04","2021-08-11","2021-08-18","2021-08-25","2021-09-01","2021-09-08","2021-09-15","2021-09-22","2021-09-29","2021-10-06","2021-10-13","2021-10-20","2021-10-27","2021-11-03","2021-11-10","2021-11-17","2021-11-24","2021-12-01","2021-12-08","2021-12-15","2021-12-22","2021-12-29","2022-01-05","2022-01-12","2022-01-19","2022-01-26","2022-02-02","2022-02-09","2022-02-16","2022-02-23","2022-03-02","2022-03-09","2022-03-16","2022-03-23","2022-03-30","2022-04-06","2022-04-13","2022-04-20","2022-04-27","2022-05-04","2022-05-11","2022-05-18","2022-05-25","2022-06-01","2022-06-08","2022-06-15","2022-06-22","2022-06-29","2022-07-06","2022-07-13","2022-07-20","2022-07-27","2022-08-03","2022-08-10","2022-08-17","2022-08-24","2022-08-31","2022-09-07","2022-09-14","2022-09-21","2022-09-28","2022-10-05","2022-10-12","2022-10-19","2022-10-26","2022-11-02","2022-11-09","2022-11-16","2022-11-23","2022-11-30","2022-12-07","2022-12-14","2022-12-21","2022-12-28"
"AL",34438.4321466342,35847.3131328699,35493.5534140029,33576.4499600917,30911.2945155887,28327.2188415694,26001.5182572701,24149.822996856,23106.0647299833,22953.6031671937,23644.0212094012,25059.6102136413,27226.1497411753,30313.5956068116,33561.2602453957,36639.9072682596,40138.0518710968,45455.4197886962,52362.4565860638,61114.4426775729,71263.2145061362,81828.5542801609,91577.3618312137,99090.3837350879,102960.589698348,100525.406489514,90973.0314652717,76694.768758294,61066.7085394643,47585.4079850375,36464.4461411362,28174.9727985946,22757.0534655835,19737.8926816134,17715.3059075893,15966.1448337379,14372.8387119288,13229.8567963884,12995.8048288035,13743.9200395335,15175.1174123357,16588.4360689278,16851.6421492951,15364.8509064454,12467.1459528145,9417.95889424372,7458.06922427653,6761.79970880066,7206.7559014922,8713.03556267066,11889.642200128,18052.2463499498,29963.7636179227,50148.7905152742,76544.060381675,100131.229478905,115723.113474506,126557.504801166,130971.132993113,125432.846493362,109193.502019782,87752.040934829,68439.4787191779,54813.3045385128,44969.5645282223,37618.5560672825,31255.9659857932,25867.2283762336,21534.0887873356,18368.519043303,16275.366535952,14536.6081278323,18466.672246192,24640.9936308112,37320.4201880168,66361.0464474322,130281.851785939,234225.505041029,346813.480751445,395566.662264248,349723.523128914,255070.605741094,171104.889227189,114302.791342525,79623.7089887215,56498.1382257745,41480.9134080923,31211.7156255051,24793.6786133834,20746.4188353633,18168.239244401,16375.2167908174,15692.4451089457,15944.0847268321,17859.6009722092,21476.7498271081,27134.4025664589,35278.8228278732,45461.7673176983,57786.2739892632,72594.1793934737,90335.0229590856,109521.341882758,125326.612168379,136208.702927724,138910.113110209,137413.24436124,137163.19233268,138647.20217165,140271.297274868,134233.004970381,118025.879193109,95479.1364103121,73833.6716918535,59519.7297177346,49972.334745111,45147.3147782165,42394.428412028,40346.7889218165,39011.9079845918,38843.0228066445,41329.1609762426,47861.6940934372,58424.0640754113,71619.5708491524,88539.6099088772,108834.442206398,129041.328438207,141775.464241566
"AK",926.849156662659,1048.12512437198,1103.95586532468,1103.92328760777,1078.81994409436,1056.45511927756,1056.45646311286,1078.3308042182,1141.33841103472,1274.48335339906,1496.24911194025,1885.17885612659,2465.53567375751,3359.19570656776,4631.99040326119,6092.83868154473,7476.38422527526,8591.2743567979,9088.24973618715,8668.09694722378,7642.28235498006,6372.3197399316,5189.44065593417,4253.92170303972,3544.40749829727,2954.02254081989,2470.24119588576,2150.84511297207,1975.52808376789,1931.58301534091,1959.58304395498,2020.90412008199,2051.55310593959,2128.42389239703,2251.34924908943,2436.52167913276,2645.26836010314,2848.64782252577,3003.63451297872,2999.9069568304,2705.3317698833,2195.25223356626,1663.1121624605,1207.85294093534,893.049519632476,693.856072543352,583.184150562111,555.136323483798,614.082583957892,802.116422366155,1198.18489160571,1893.07217125745,2995.01119946662,4379.12799895671,5736.37320106178,6878.91327618925,7945.85526726895,9173.34572010194,10638.173631683,12446.1488945177,14171.9584870303,15748.8999995408,16764.4883393506,17459.7390852379,17708.5155319697,17189.3684038932,15868.7225567395,14145.478028079,12254.4865100395,10246.819306069,7883.22500675398,5325.9622298014,4871.62969482176,4353.47344479818,4418.13542968972,5732.8777815808,10233.0658718436,20444.8085571461,36317.8762210384,48032.1515410599,44363.8255373594,32071.1360200658,21065.2309664166,14241.7089212693,10628.5674821441,8804.88233738982,7695.99459724868,6891.04510874926,6189.25390442735,5884.36084877553,5976.89967849759,6534.5910293598,7682.11666311957,9049.28102537716,10281.5046602632,11281.4001391701,12228.0910872567,13281.8686052615,14491.2982247026,16096.7982480924,17709.2833163671,19007.2975427576,20585.4728231029,21337.9722621138,22609.8365695744,24236.2733242706,25713.7086957743,25874.869763554,24473.5575378581,22011.3815990965,19080.2627685137,16179.8340642506,13488.966093542,11558.0238005926,9743.74968962785,8483.5686847476,7332.62260436827,6481.57507801625,6042.63173970607,6086.90045059157,6652.44468927424,7847.11970690746,9224.77566521778,9972.78562196624,9371.22428279499,7855.68091619766,6657.28051553956,6285.31296481452,6910.14390210088
"AZ",80723.2767142673,68541.5456646823,53773.5662898916,39922.3119171065,28770.5090302346,21120.6965135508,16251.5217446661,13436.1082991328,11953.5569160424,11547.3994917854,12283.0827634695,14016.4540645492,16662.8698127902,20161.5968817038,24147.1687684781,29794.4642024855,39490.9184242672,54501.602264542,74828.6621828761,98137.9532672091,119166.561416674,133089.22910154,142466.656127764,154810.103883071,169981.716892204,180315.510044356,169332.262162772,137790.478199109,100618.233294969,69621.2067267719,49198.4915830461,36870.1712690885,29159.9206715876,23664.9910352503,19958.6350829336,17432.3860984782,16458.5118573664,16687.1018096372,17768.7975580988,19329.0461695062,20659.2226406302,20900.6429950584,19857.1848000566,18404.1033332514,17032.1348191086,15958.4984366772,15252.3308931829,15397.210681989,15985.5391509825,17159.4604349101,19287.9259117635,23591.0148608658,31628.3333448902,43492.1294844182,57840.098237241,70916.2095522029,81499.3612869161,88883.137328363,94003.6564344889,95509.2487112464,92785.6983968391,87416.7253707781,82488.0497544526,79681.1388612681,79842.9780647362,83458.2865226815,92897.5445447504,108138.398828346,129073.248093547,153019.293991318,164051.948245711,144174.64539207,150927.610924189,135899.163332725,125884.438069021,142292.70438999,206340.112063555,341597.258718102,533914.842645369,656491.211779341,584134.33589808,408417.776711237,257187.18708046,162739.864857641,109973.918063997,83855.3006387216,71912.3083258401,68882.7344271461,68962.4493443517,63807.4138995037,51518.5880567447,39772.5051651488,35188.9566835516,38769.7845847443,48890.6167631542,64218.4270158276,83960.2418563454,106549.481656329,127699.668996229,143255.320518468,153435.935667398,161582.567289988,174668.736393566,189159.395716601,195205.987626129,193380.938901439,186668.966340443,174856.843216344,157351.911553709,134505.199411027,111293.145858433,91618.3866742263,77836.9758553616,69302.1561245753,62828.1606970043,58540.7742862644,57969.7576683606,62844.8489202487,74059.0243308701,94484.4103286251,127769.081126311,178901.945366905,245997.512536166,303018.868566924,317379.831667073,287527.430944148,246604.806860642,219684.271500373,198231.621573167
"AR",14326.4452300987,15513.2318949733,15843.7830226647,15149.0301803026,13831.3964698572,12566.4776374553,12066.8166438084,12623.8693262054,13996.2638837849,15742.4089104859,17383.303279747,18673.5915398963,19580.9219619002,20317.4170103479,21347.502224949,23573.3275435251,27207.4956008331,31939.8911136697,35810.390548334,38512.7641671206,40184.9851203978,41774.7407432074,44318.3849247483,47636.9674503592,50809.5746032562,50794.0826604156,46274.5537562656,38769.083062603,30881.2129959619,23959.1590365134,18487.1365679913,14346.8515569614,11312.8504613165,8972.75685735249,6934.28619438278,5532.98587487098,4874.32281170393,4827.88730980037,5183.40663101763,5794.01670561206,6329.4787433703,6614.39806003436,6635.15096589234,6539.36574293522,6417.36551547202,6408.8447392628,6836.146135504,8017.24503282556,10201.5117220188,13803.438235651,19270.3666631755,26657.6968719527,36085.8871601467,46671.162965325,57308.8029390997,64806.2092160343,67038.3842662057,63885.8439028195,59491.6207763879,54647.1902948787,48931.9136741516,41988.4347875499,34294.1787085244,27713.1442037336,22783.7355252397,19131.1676937723,16672.1391378122,15377.407930476,15604.7317462637,17467.532968207,20022.8153852988,21401.4226245721,27825.3534870152,30665.2630819045,33462.4461120944,46869.7551716706,88146.250361461,172612.100355685,271616.979873183,303685.987128335,251206.59453778,168760.873723381,105253.371481911,68682.266432219,49913.1178509379,39893.873922543,30930.1348604487,21570.0560634334,13649.0151440018,8761.9703435044,6580.41803841445,6141.34164048693,6717.60902023281,8016.1659425436,10006.1098790409,12921.5644493364,17016.9076306634,22482.6880680517,29172.0774563682,35862.6731771217,43612.3828744498,54525.3960362613,71482.9155926384,89875.0245096804,100048.885919336,97006.4056945647,88479.4193784148,82108.3634376967,79382.6277963967,78406.6991234067,78931.9679560281,79973.6827749323,78299.0092870609,69334.0428596637,54546.9816076908,41486.1506099611,34118.3809808952,31423.6442263895,30859.3844589857,30958.6670340286,30603.9409057156,32580.4795376229,37629.9319324942,47718.5180421218,59712.368741266,69994.2989294505,79974.8899182921,95403.0380986896,108510.403205723
"CA",241479.120510773,251002.535367976,248837.768100033,236589.774286264,212899.834852497,179919.31768716,146445.202260673,120619.999241379,104628.541739095,98451.5724680342,98157.6153194145,100184.269377394,103477.561209935,107998.783957778,117582.559068002,138072.340464194,177829.740393152,247591.791330176,352026.519033048,496111.353389552,678572.518539752,882850.412939496,1052368.01443036,1125706.73802996,1116236.45966925,1026170.71259392,863495.786890242,678445.988409096,503915.436378779,363880.019780902,264511.845402774,198062.223721416,157901.840768084,133684.330418242,117918.66565515,107520.745031982,99085.678785008,93973.1656539036,92941.956701813,90464.9234281168,83939.7331874642,75994.9564668937,68459.5579860314,62666.9765328555,57875.3538950643,52183.9721066355,47058.7309322721,43751.9478535597,44726.953761244,51302.7421314376,66384.2016122891,95707.3781526218,149286.825755894,234009.631475713,345146.726194374,452994.562646508,521668.507171458,537757.821587027,508379.786720978,452752.429293713,386972.281429965,326756.219971112,278600.175883083,248470.091486878,240884.155636784,254131.37702694,274652.819880232,283262.630599863,269723.335751164,249224.277558075,225903.521703818,192610.444290654,220469.449623163,228524.412874013,260336.228286593,425119.74869198,986547.736341248,2038180.39993054,2849846.13174172,2756117.96199205,2118972.11060653,1391714.49902291,857698.671659623,549812.394018053,385995.828149147,289772.71369344,224871.499147224,178768.118627664,146223.957351153,131099.440412416,133013.00559693,152232.989245587,188012.456771668,237730.546900208,305629.303487754,401201.503830667,513220.040413696,605335.154810997,646605.061729334,662053.192892984,682879.977835493,744498.270825251,838427.81772528,933450.979759913,1013926.94400687,1003277.45504185,921023.951460074,824722.048150658,750514.662032622,713517.796602549,672329.935408622,597674.012270738,500739.100434081,420278.234077335,375507.683629319,358589.566211747,339839.079012348,314072.40680055,294418.817794637,305738.085118768,348668.995971414,433937.48547916,569273.4232263,762326.247723729,919864.150922686,952915.298637298,958987.353215155,1002361.84968017,998375.5231827
"CO",7363.20731107365,6463.08312594861,5479.17014794294,4673.48734350258,4170.20847686726,3978.59595614187,4155.59344142606,4780.61457876913,5868.33892263532,7364.34857966843,9226.95108756378,11801.3578347476,15786.5648576361,22260.8430430228,32653.5432612802,48440.921946783,67486.0732671944,79912.4820755857,78796.7032110502,66753.4874375719,52258.9870832171,40991.7731836755,34928.4997011322,32209.3941335497,30916.3194685553,28473.241841905,24736.1959229064,20775.6266310255,17850.6606050606,16159.7742272337,15019.3535036378,14128.7436631119,13271.5230294247,13371.5462700881,14153.4175307355,15778.4652287905,18308.2850681578,21020.948774749,23790.6245108206,26064.9747571649,26330.5917777245,24361.5473844786,20317.1052931934,15828.0169169978,12086.8278339123,9294.09355751822,7641.70716000807,6944.12120190471,7036.11604427999,7585.05171984495,8338.79680165843,9399.69144187178,11334.0151943613,14940.4637322425,20856.0728419982,28990.7165313466,37691.0173816301,44179.9872086251,47779.2532235932,49033.339481645,49042.2992180694,49908.2763341413,52834.3931031804,58472.6893536258,66157.4613354358,74872.9114813706,85850.3267076217,99877.5380712862,115013.487130478,122176.84615821,108022.335316136,75746.9416551472,71294.5532324277,72067.7222283971,97432.4852547591,182110.302845164,365400.870830606,520918.87358066,462634.103082992,294862.64137022,166036.545472947,97270.9652325735,61357.3671885626,41820.7113299386,30173.6403545673,22701.4780242942,17674.8518745089,14696.1715839109,13831.2995677343,15299.2332821378,20028.1820069294,27915.068233995,36990.0994895015,45860.4331393219,55411.8274911972,69900.4658784176,91220.7953807894,111869.94900708,120970.449350586,116573.38025851,110662.881267254,112545.685322916,118406.496801812,118436.049270445,111484.973914853,100583.624452425,87381.3534653511,74498.6510086954,65325.0920241751,61127.3480505786,61333.4321194346,62080.7476565566,59797.9043859673,55293.3912361811,49756.9677560453,47293.8232090977,48730.9348041701,56616.3587447935,71243.1277688402,93349.3408729251,122933.152152097,151986.680099603,167428.188419898,167000.551542911,152247.146854947,135860.664027598,119453.475835282,102671.735561421,85795.5797097535
"CT",1964.53871811419,2207.1560985328,2394.21798318116,2428.02567149895,2392.80688559446,2457.81691611546,2602.77466371262,2810.39862442748,3062.71325001841,3427.82369600603,4002.9819228304,4920.72182104485,6330.47757156558,8482.38965478656,11794.356483604,16887.7154669764,24047.5772093254,32000.120915833,38839.9489975197,43660.7380741145,46433.6344398519,46846.9480809088,45797.629871007,45860.0625213518,47730.6099060697,49012.7077170223,47452.5417404137,42164.4458509735,35078.3499804541,28545.7632994957,24012.6114889618,21098.6858489991,19699.5757523356,19716.3363119163,20909.5968201592,23262.4184125749,26578.0165103121,28821.964594352,28296.4650203929,25364.9324998518,21371.8368983452,16741.3624198667,12058.0546077835,8062.56945403163,5255.6475568102,3456.57572403193,2410.86903544319,1875.45471623266,1603.15771652642,1534.01711356516,1681.59157017252,2184.02780190062,3406.03099477749,5730.6353248536,9433.92301478706,13562.9945479417,16691.9779583897,17795.2100257302,17655.6442422136,16834.6423405861,16100.3541859494,15329.0974237671,14599.499439173,13637.1855037041,12482.4161029983,11333.0353664838,10601.9253861221,10782.346915758,12245.61662668,15044.2060426848,18805.770370329,21468.9551827155,31242.1275279874,40020.124831948,49509.1653315969,71308.1222874735,117863.130013861,171971.432689484,173709.812484549,122770.39896678,73275.0219903866,44252.3845257407,30185.5715745966,23282.5873413472,19473.0443660388,16921.8177374782,14946.7293350718,13363.0510650579,13068.889102963,14783.150097,18646.8421621655,24302.6024091737,30859.0077346807,38866.4123804547,48265.4172096346,57083.3500027423,57424.6762978095,46933.0750284034,35574.9510414934,29808.4232121143,29570.8115917604,32956.1647491861,36512.884312795,38008.3029274888,38341.4995969607,39493.9167105372,41096.9083012237,41498.4423229917,40063.6673131861,38217.5946518635,36652.0855768214,36568.6782396187,39089.5876600788,43666.3484280305,47156.5320160708,47848.4425596092,47177.9103743287,46177.0912822921,44656.1180009522,42472.8596005633,39807.6754476812,39229.5251191374,41110.7093236623,46075.5619963755,52725.3144889804,60906.2122250701,71256.8727838225,82997.4549237454,91417.4600032908
"DE",1667.46330446467,1626.634243874,1617.3483533073,1636.62273863463,1679.31814979196,1709.16826031202,1719.79366416759,1749.77655918772,1861.5608178752,2034.68964739857,2286.2852813954,2521.12710403766,2654.06973157437,2716.42339775623,2874.70628708812,3332.75199989544,4261.94625827738,5924.0134071057,8299.71044711947,10936.158173976,13006.948344442,13951.4676849166,13878.321097216,13760.5821765133,13950.0267851515,13935.94997587,12897.1941362939,10918.8370130519,8812.50960944314,7065.58031048837,5794.6449529379,4901.48104068775,4347.55404687101,4165.62838814225,4371.6057706642,4853.61756769298,5521.92101053936,6275.16575313422,6565.78609462798,6395.56654486078,5711.60439153207,4744.18608974853,3779.0330322823,2905.38760667863,2080.4732300472,1364.05925888669,861.242711423661,584.701892181127,455.885559670947,423.250190160804,479.255298448983,651.157715406282,1001.30300048653,1675.91745507091,2871.24037843085,4666.17691734658,6697.55586779496,8348.91013791968,9259.67653739456,9751.25515940748,10155.4399602281,10706.0927036319,11090.0073511473,10964.6631415,9976.68401359828,8630.47299334614,7554.56197942745,7172.33873404763,7646.12516651881,8813.05488027549,10025.1287439345,10471.7947520097,14170.4243759669,17078.7514435743,21216.7553643267,30797.0616911223,50051.9176076565,71781.6045911949,72555.0804322667,51820.6434209153,30480.251275423,17807.9528472707,11881.042982819,9021.55612977543,7420.10804780572,6232.14946229663,5242.64819040247,4399.62499973942,3860.3835784939,3772.44321916573,4304.68492477468,5634.36500028671,8004.77755884057,11479.3219824854,16061.5304271956,20886.5873555265,23226.5153239317,21699.4676710742,18261.9521842464,15205.4566054032,13667.24021252,13788.9208427209,15210.0125347521,17560.4341867956,20131.1516575129,21934.170753216,22977.5082943387,23072.5354926931,22039.2108184787,20180.1832105718,18177.7012570389,16709.6013452526,16548.0514987776,17711.6972019984,18911.9556593108,18806.0067373845,17074.0030041733,14880.9571092412,13506.1750878363,13084.6757728574,13703.4637614165,14810.5104859994,16080.8869099611,17432.1057529523,19177.1296951922,21632.1799710101,25145.9821407355,29105.7799654183,31362.8397816706
"DC",1967.96001733412,1979.15974390444,1978.80849599874,1896.67955453544,1804.20346518193,1693.07179026714,1584.91069641084,1497.15333879899,1442.69815127635,1412.12788122858,1405.96235579797,1420.72428998109,1488.53519180106,1615.65541597305,1828.37282670898,2167.6366220049,2655.36661238346,3300.85444139642,4064.73918611027,4866.00196719414,5555.99497226195,6067.35182638297,6420.7589230409,6828.71395562706,7242.55737582331,7496.34425198421,7298.54361425953,6711.13084117132,5899.07332117484,4965.84792309303,4192.30701272367,3619.35706331865,3273.62486557988,3174.81057352104,3235.86933015554,3359.41406212934,3466.96740297309,3556.55106968539,3427.17419757431,3118.12454757634,2723.06908150936,2301.80169289277,1912.50171245689,1581.93862615109,1286.35726968328,1018.70906526688,790.786753165817,616.944917489823,497.105926666849,436.49928436941,432.890665722778,493.989512207719,653.076799312453,967.767813158249,1497.13892255943,2328.32025551268,3320.17965440062,4065.57606044911,4382.45295213666,4321.3712424982,4179.24222266342,3991.28306337672,3615.88562961594,3132.88753514204,2648.33355086614,2160.46815858056,1809.66255968823,1596.50507893533,1527.25950822778,1542.97558686308,1623.5892310505,1790.26307092589,3007.6304736637,5488.76372497092,11075.158230419,22196.9840518806,35807.8864829098,39321.268187713,30129.1268252208,18638.5447284136,11204.5517885626,7309.31586662868,5233.94706081049,3873.90508423505,3014.34084511609,2395.75669213712,2014.33443444863,1859.3729126247,1961.95148216882,2321.22349860483,2975.03813158903,3757.58322441585,4602.24659054846,5354.21368504725,6074.94949677692,6820.45515958489,7526.74145810204,7894.93300651305,8067.7852983628,7967.42620777441,7969.64674859281,8246.04341218958,8616.68416661543,9222.30972531614,9777.13391757542,10110.7934838506,10211.4810140123,9828.39418047428,9101.4887946133,8270.91503024313,7414.9576264876,6737.97147641224,6202.64343654487,5717.61248631654,5238.44721684302,4850.88382715116,4682.46831298232,4805.89793786247,5237.50039225834,5665.79240207467,6093.4298816804,6264.01751619085,6526.14892567566,7018.65683075419,7829.09856066099,9065.99556467568,10442.9791108905,11911.6106026095,12762.7033542571
"FL",141600.926386017,150894.409732182,147155.552420228,134180.28215557,116984.659393742,97693.9003522302,82619.6255619941,70836.7910829015,63236.0858077213,59066.7738734535,57490.0252459016,58029.2614842423,60597.9704157282,66475.800776506,74013.6401674375,80300.5327130223,86310.57363791,95223.2356968135,108586.89327308,126618.877280216,144077.777860847,161202.201391749,177730.881863496,197808.803147056,217687.008224723,225893.06302214,215776.643056516,196827.703982525,176752.791821342,154829.709040874,136891.657479723,121286.766061422,109292.339126447,99241.8156141945,93650.6678291427,91570.5049458013,95464.8064255984,101968.761907667,110509.731669753,113246.109208845,106978.109065221,95469.7287801255,83407.6116371819,73080.4662663425,63991.1708119232,56091.5614699334,50074.5023650813,48592.8338095441,51493.8323333368,60342.2885255639,81379.9273341696,120826.403833399,192008.883295493,303072.087461874,438273.595821451,558320.9613939,613759.969806283,612917.067592285,577133.017703229,528979.087036398,457265.801009669,384506.708299408,315239.356620713,255085.251196625,209316.656892049,168750.691131483,139587.109625711,120860.332302306,107562.638421844,96448.8963644783,80881.086018945,63517.6617996365,75425.3924284021,102923.585131675,180270.470397912,385757.032864247,756217.430063363,925705.300278414,823827.058789828,701505.271338749,647358.449633524,602898.997687706,517561.26901255,397238.535705946,279639.454866366,193011.200418556,135091.735456512,101603.374205039,83115.5417439614,77124.4816640668,80133.0334668893,90637.6261654452,106215.169056405,127714.929764195,158834.307523963,200846.298913108,255984.553426734,318273.055444858,367749.789701652,407061.05607603,435029.92721004,464444.841805852,507382.655742331,550786.679483305,586960.835487011,616529.584442502,630196.162164538,613510.610546815,572899.074641611,534626.558325168,493944.691561,451756.91468732,400492.205257203,338851.589739036,278448.481889206,234638.391777042,209158.23227577,196870.115523383,194861.518860489,196509.867269143,199029.053737633,203407.5109839,214964.758990587,243603.7166629,273038.576229793,302715.291947716,348814.870388702,454758.121109815,592968.834756327
