County,State,FIPS,Population,2020-07-15,2020-07-22,2020-07-29,2020-08-05,2020-08-12,2020-08-19,2020-08-26,2020-09-02,2020-09-09,2020-09-16,2020-09-23,2020-09-30,2020-10-07,2020-10-14,2020-10-21,2020-10-28,2020-11-04,2020-11-11,2020-11-18,2020-11-25,2020-12-02,2020-12-09,2020-12-16,2020-12-23,2020-12-30,2021-01-06,2021-01-13,2021-01-20,2021-01-27,2021-02-03,2021-02-10,2021-02-17,2021-02-24,2021-03-03,2021-03-10,2021-03-17,2021-03-24,2021-03-31,2021-04-07,2021-04-14,2021-04-21,2021-04-28,2021-05-05,2021-05-12,2021-05-19,2021-05-26,2021-06-02,2021-06-09,2021-06-16,2021-06-23,2021-06-30,2021-07-07,2021-07-14,2021-07-21,2021-07-28,2021-08-04,2021-08-11,2021-08-18,2021-08-25,2021-09-01,2021-09-08,2021-09-15,2021-09-22,2021-09-29,2021-10-06,2021-10-13,2021-10-20,2021-10-27,2021-11-03,2021-11-10,2021-11-17,2021-11-24,2021-12-01,2021-12-08,2021-12-15,2021-12-22,2021-12-29,2022-01-05,2022-01-12,2022-01-19,2022-01-26,2022-02-02,2022-02-09,2022-02-16,2022-02-23,2022-03-02,2022-03-09,2022-03-16,2022-03-23,2022-03-30,2022-04-06,2022-04-13,2022-04-20,2022-04-27,2022-05-04,2022-05-11,2022-05-18,2022-05-25,2022-06-01,2022-06-08,2022-06-15,2022-06-22,2022-06-29,2022-07-06,2022-07-13,2022-07-20,2022-07-27,2022-08-03,2022-08-10,2022-08-17,2022-08-24,2022-08-31,2022-09-07,2022-09-14,2022-09-21,2022-09-28,2022-10-05,2022-10-12,2022-10-19,2022-10-26,2022-11-02,2022-11-09,2022-11-16,2022-11-23,2022-11-30,2022-12-07,2022-12-14,2022-12-21,2022-12-28
Autauga,AL,1001,55869,105.0,129.99,101.00999999999999,98.98,175.0,56.980000000000004,67.97,98.0,70.0,97.02,95.97,76.02,60.970000000000006,76.02,93.03,86.03,108.99000000000001,139.01999999999998,178.01,157.01,186.97,244.01999999999998,392.98,378.98,275.03,480.96999999999997,353.01,259.0,241.99,254.03,177.03,119.98,122.00999999999999,140.98000000000002,87.00999999999999,66.99000000000001,49.98,56.0,86.03,65.03,52.99,97.02,24.01,14.0,24.01,118.02,25.97,48.02,21.0,12.25,13.020000000000001,20.02,42.98,55.02,104.02,156.03,219.03,277.97,270.97,362.46000000000004,310.03,262.99,196.98000000000002,147.0,94.99000000000001,55.02,45.01,151.97,200.97,70.98,67.97,84.98,18.97,48.02,66.00999999999999,70.0,175.0,591.99,702.0300000000001,653.0300000000001,569.0300000000001,1225.0,294.98,245.0,84.98,77.0,37.03,20.02,21.0,24.99,102.97,27.02,6.02,63.980000000000004,17.99,14.0,20.02,42.98,52.99,95.97,108.99000000000001,156.03,189.98000000000002,178.99,262.01,241.99,221.97,199.99,150.01,118.02,140.98000000000002,126.98,133.98000000000002,108.00999999999999,70.0,56.0,37.03,25.97,30.03,28.0,31.009999999999998,31.009999999999998,28.349999999999998,20.02,67.97,72.03,94.99000000000001,114.03,114.03
Baldwin,AL,1003,223234,462.0,678.02,711.9699999999999,472.01000000000005,395.99,226.03,262.99,318.01,203.98000000000002,216.01999999999998,137.97,499.03000000000003,493.98999999999995,136.01,172.97,198.03,318.01,347.97,440.02,623.98,689.99,924.0,1124.97,1109.01,1071.0,1263.99,1045.03,952.0,976.01,788.9699999999999,469.98,378.98,367.99,220.99,156.03,193.97,175.0,109.97,84.98,97.02,116.97,109.97,137.97,135.03,114.03,126.0,80.99000000000001,80.99000000000001,84.0,81.97,105.98,126.98,310.03,720.02,1315.02,1676.01,1844.99,1816.01,2079.0,1522.08,1123.01,954.03,598.99,462.98,325.01,231.0,202.01999999999998,157.99,136.01,283.99,168.98000000000002,128.03,80.99000000000001,123.97,165.97,214.97,669.9699999999999,2013.9699999999998,3041.01,3308.97,3419.99,2154.46,1011.99,518.98,223.01999999999998,203.0,101.99000000000001,76.02,140.0,49.98,48.02,66.00999999999999,49.0,52.01,72.03,112.0,153.01999999999998,262.01,357.98,444.01,529.9699999999999,615.02,626.99,658.0,818.02,731.01,752.99,699.02,634.9699999999999,535.99,492.03000000000003,581.0,577.01,416.01,265.02,191.03,108.99000000000001,88.97,77.0,76.02,77.98,77.98,103.25,212.03,249.97,220.99,269.99,275.03,275.03
Barbour,AL,1005,24686,74.97,77.0,66.00999999999999,31.009999999999998,31.009999999999998,37.03,49.0,35.98,18.41,24.08,42.0,45.01,31.009999999999998,28.0,45.99,42.0,34.02,32.97,24.99,32.97,35.98,38.99,51.03,87.00999999999999,108.99000000000001,105.0,87.99000000000001,74.97,137.97,83.02,42.98,35.98,42.0,34.02,38.01,41.02,17.01,12.25,10.5,17.99,27.02,14.0,9.030000000000001,7.0,10.01,9.030000000000001,7.909999999999999,10.01,3.9899999999999998,3.9899999999999998,1.05,7.9799999999999995,18.97,42.0,46.97,80.99000000000001,137.97,123.97,116.97,161.76999999999998,139.01999999999998,121.03,73.00999999999999,63.980000000000004,44.03,23.03,14.98,20.02,11.969999999999999,14.98,32.97,35.98,9.030000000000001,11.969999999999999,7.0,7.0,51.03,259.0,401.03,363.02,340.97,189.0,83.02,41.02,17.5,13.020000000000001,10.01,7.9799999999999995,11.969999999999999,7.9799999999999995,0.91,1.54,1.54,2.24,7.0,6.02,12.25,6.02,12.46,24.01,35.0,49.0,62.019999999999996,60.970000000000006,114.03,112.98,108.00999999999999,102.97,88.97,70.98,100.03,97.02,107.03,69.02,46.97,7.9799999999999995,14.98,14.0,14.0,7.9799999999999995,3.9899999999999998,3.9899999999999998,10.15,9.030000000000001,11.969999999999999,9.030000000000001,17.99,20.02,20.02
Bibb,AL,1007,22394,41.02,45.01,56.980000000000004,48.02,72.03,38.99,27.02,31.990000000000002,28.979999999999997,21.0,28.0,25.97,38.99,52.99,49.91,51.03,41.02,63.980000000000004,46.97,154.0,77.0,83.02,198.03,163.03,133.98000000000002,126.98,164.99,79.03,73.00999999999999,59.99,46.97,38.01,38.01,21.98,21.0,28.0,23.03,13.020000000000001,14.98,15.75,10.01,19.25,13.020000000000001,7.9799999999999995,11.969999999999999,11.969999999999999,7.9799999999999995,4.41,14.0,2.03,7.0,6.02,9.030000000000001,45.01,91.98,91.98,119.0,114.03,177.03,158.69,184.03,195.01999999999998,126.98,109.97,42.0,39.97,28.0,24.01,24.01,20.02,23.03,14.0,9.030000000000001,23.03,17.01,21.0,63.0,207.97,366.03,440.02,493.01000000000005,282.31,108.99000000000001,69.02,28.0,21.0,16.099999999999998,9.030000000000001,6.02,4.97,3.9899999999999998,6.02,7.0,5.390000000000001,4.97,10.01,13.020000000000001,13.020000000000001,28.979999999999997,31.990000000000002,42.98,65.03,52.01,45.99,58.029999999999994,52.99,73.00999999999999,65.03,59.01,73.99000000000001,95.97,125.02,102.97,56.0,31.009999999999998,23.03,21.98,10.99,10.01,13.020000000000001,14.98,14.98,12.950000000000001,14.98,10.01,16.03,14.98,24.01,24.01
Blount,AL,1009,57826,126.98,157.99,147.0,144.97,128.03,81.97,146.01999999999998,112.98,93.03,86.03,93.03,49.0,44.03,77.0,122.99000000000001,122.00999999999999,199.99,212.03,248.01,206.99,245.0,395.99,454.02,416.99,217.0,314.02,272.02,206.01,192.01,199.99,168.98000000000002,70.0,74.97,172.97,154.98000000000002,47.25,31.009999999999998,42.0,24.99,38.01,49.0,38.99,39.97,45.01,56.980000000000004,48.02,32.97,31.990000000000002,23.03,13.020000000000001,30.03,25.97,42.0,77.98,133.0,196.98000000000002,195.01999999999998,272.02,339.99,356.23,367.01,273.98,283.01,241.99,143.99,105.98,84.98,114.03,102.97,125.02,87.99000000000001,128.03,42.98,77.98,87.00999999999999,98.0,126.0,368.97,570.99,756.98,847.98,568.54,289.03,147.0,112.0,80.00999999999999,70.0,24.99,13.020000000000001,10.01,5.25,30.03,28.0,13.020000000000001,16.03,16.03,25.97,27.02,24.99,38.01,62.019999999999996,72.03,101.99000000000001,109.97,192.01,137.97,156.03,151.97,109.97,114.03,156.03,130.97,101.00999999999999,76.02,119.98,81.97,37.03,129.99,213.99,30.03,34.02,34.02,32.550000000000004,46.97,39.97,59.01,88.97,83.02,83.02
Bullock,AL,1011,10101,11.969999999999999,21.0,24.99,20.02,48.02,30.03,25.97,24.01,9.030000000000001,13.020000000000001,14.0,13.020000000000001,7.9799999999999995,10.01,9.030000000000001,13.020000000000001,7.909999999999999,9.030000000000001,13.020000000000001,11.41,17.5,13.020000000000001,14.98,28.0,80.99000000000001,79.03,46.97,45.01,63.0,52.99,48.02,14.0,21.98,14.0,7.9799999999999995,7.9799999999999995,2.8000000000000003,10.01,3.9899999999999998,3.01,4.69,7.0,7.0,3.9899999999999998,0.9800000000000001,0.9800000000000001,3.01,7.0,6.16,2.31,3.9899999999999998,3.01,3.01,1.12,7.9799999999999995,9.030000000000001,16.52,28.0,38.99,35.77,38.01,25.97,21.0,24.99,13.020000000000001,7.700000000000001,7.700000000000001,1.05,1.47,2.03,5.25,7.9799999999999995,3.5,4.8999999999999995,7.0,8.75,66.00999999999999,137.97,170.03,116.97,139.01999999999998,74.69,16.03,10.99,7.9799999999999995,6.02,3.08,3.08,0.56,9.31,14.0,1.1900000000000002,6.02,8.19,8.19,0.0,7.0,6.02,3.9899999999999998,10.01,17.5,44.03,17.5,52.99,56.0,42.0,31.009999999999998,31.009999999999998,11.969999999999999,28.979999999999997,20.02,35.0,35.0,32.97,4.97,9.030000000000001,4.97,7.0,3.9899999999999998,3.9899999999999998,0.9800000000000001,0.9800000000000001,9.799999999999999,3.01,3.9899999999999998,2.03,16.03,14.98,14.98
Butler,AL,1013,19448,24.99,37.03,41.02,35.98,23.03,30.03,15.75,38.99,23.03,7.909999999999999,10.99,10.01,14.0,49.98,35.98,17.01,18.97,28.0,39.97,42.0,44.03,74.97,94.00999999999999,80.00999999999999,83.02,90.02,67.97,56.980000000000004,58.029999999999994,72.03,44.03,42.0,27.02,59.99,49.98,24.01,7.9799999999999995,24.99,18.97,14.98,13.020000000000001,7.9799999999999995,10.01,6.02,6.16,24.99,16.66,10.01,10.01,8.75,11.969999999999999,7.9799999999999995,17.99,39.97,53.97,53.97,98.0,80.00999999999999,101.99000000000001,106.54,107.03,119.98,91.0,46.97,21.0,16.03,20.02,35.0,34.02,17.99,16.03,37.03,10.5,10.01,35.0,14.98,56.0,214.97,300.02,245.98000000000002,256.97,241.92000000000002,132.01999999999998,44.03,21.98,10.01,3.5,3.9899999999999998,3.9200000000000004,3.5,0.77,2.03,3.7800000000000002,4.97,2.66,2.03,2.03,9.31,9.030000000000001,30.03,32.97,35.98,52.01,66.99000000000001,70.0,70.0,86.03,66.99000000000001,65.03,77.0,87.00999999999999,72.03,77.0,55.02,45.99,18.97,10.99,3.01,0.9800000000000001,0.9800000000000001,3.01,3.01,5.25,3.01,24.99,24.99,25.97,31.990000000000002,31.990000000000002
Calhoun,AL,1015,113605,244.01999999999998,235.97,401.03,391.02,252.0,224.0,241.01,233.03,273.98,258.02,235.97,168.0,174.01999999999998,178.99,238.0,527.0300000000001,311.99,280.98,482.02,347.97,583.0300000000001,696.99,679.98,896.0,459.96999999999997,681.0300000000001,636.02,546.98,437.99,448.98,318.99,286.02,305.97,665.0,234.01,119.0,77.0,38.01,41.02,66.99000000000001,56.980000000000004,45.99,48.02,45.99,31.009999999999998,41.02,27.02,42.98,34.02,7.0,51.03,18.97,66.00999999999999,116.97,273.98,297.01,445.97,520.0300000000001,609.0,816.69,787.99,833.98,1169.98,724.01,301.98,248.01,125.02,74.97,84.0,56.0,143.99,105.0,28.0,52.01,74.97,100.03,283.01,927.01,1277.99,1739.99,1942.99,1417.92,647.01,277.97,202.01999999999998,332.99,342.02,179.97,14.98,11.969999999999999,11.969999999999999,9.030000000000001,11.969999999999999,24.01,21.0,24.99,55.02,48.02,49.98,76.02,119.98,196.98000000000002,248.01,228.97,354.97,318.99,262.01,319.97,277.97,262.99,371.0,311.01,375.97,206.01,455.98,717.01,718.9699999999999,119.0,90.02,56.980000000000004,67.97,67.97,80.85000000000001,121.03,104.02,123.97,171.01,161.98000000000002,161.98000000000002
Chambers,AL,1017,33254,58.029999999999994,63.980000000000004,62.019999999999996,42.0,31.990000000000002,23.03,42.0,62.019999999999996,23.03,38.99,42.98,35.0,31.990000000000002,45.01,73.99000000000001,62.019999999999996,79.03,59.01,112.0,116.97,122.00999999999999,101.99000000000001,102.97,112.0,133.98000000000002,209.01999999999998,214.97,196.98000000000002,206.01,95.97,58.029999999999994,46.97,55.02,42.0,14.98,10.01,10.99,17.01,7.0,16.03,18.97,10.99,17.99,20.02,38.01,38.01,32.97,38.01,17.99,4.97,4.97,14.98,21.98,31.990000000000002,93.03,108.99000000000001,174.01999999999998,170.03,216.01999999999998,208.46,192.01,195.01999999999998,160.01999999999998,140.0,60.970000000000006,24.99,21.98,46.41,59.5,14.0,16.03,13.16,10.5,28.979999999999997,30.03,37.03,157.01,423.99,587.02,486.01000000000005,458.01000000000005,277.69,93.03,56.0,32.97,13.020000000000001,10.99,4.41,14.98,4.41,3.9899999999999998,6.16,3.9899999999999998,3.5,4.48,13.16,10.99,10.01,24.99,25.97,35.0,72.03,112.0,108.00999999999999,121.03,158.97,164.99,154.98000000000002,129.99,108.00999999999999,98.0,94.00999999999999,70.0,55.02,27.02,21.98,10.99,13.020000000000001,10.01,9.030000000000001,21.98,21.98,18.900000000000002,16.03,45.99,49.0,59.99,46.97,46.97
Cherokee,AL,1019,26196,31.009999999999998,38.99,42.98,44.03,38.99,38.99,34.02,37.03,37.03,69.02,56.980000000000004,37.03,31.009999999999998,42.98,31.5,34.02,62.019999999999996,42.0,70.0,73.00999999999999,46.97,79.03,84.0,111.02,73.99000000000001,65.03,101.00999999999999,49.98,65.03,45.01,20.02,14.98,11.41,14.0,9.030000000000001,7.9799999999999995,6.02,9.31,8.75,7.0,6.02,4.97,7.0,12.25,7.9799999999999995,10.01,5.25,4.97,6.02,1.61,1.61,5.95,13.020000000000001,21.98,42.98,53.97,81.97,84.98,129.01,148.54,157.99,116.97,90.02,72.03,45.01,27.02,25.97,23.03,17.01,31.009999999999998,27.02,31.009999999999998,24.99,35.98,31.009999999999998,31.5,38.99,168.98000000000002,231.98000000000002,476.98,471.03000000000003,264.46000000000004,100.03,53.97,38.99,25.97,14.0,3.9899999999999998,6.02,3.5,4.97,3.9899999999999998,6.23,3.01,1.75,7.0,7.9799999999999995,11.969999999999999,10.01,21.0,17.99,11.969999999999999,44.03,56.980000000000004,53.97,74.97,69.02,59.99,60.970000000000006,69.02,87.00999999999999,67.97,83.02,42.98,37.03,23.03,17.01,9.030000000000001,11.969999999999999,10.01,21.0,21.0,19.599999999999998,30.03,115.99000000000001,67.97,66.99000000000001,59.01,59.01
