County,State,FIPS,Population,2020-07-15,2020-07-22,2020-07-29,2020-08-05,2020-08-12,2020-08-19,2020-08-26,2020-09-02,2020-09-09,2020-09-16,2020-09-23,2020-09-30,2020-10-07,2020-10-14,2020-10-21,2020-10-28,2020-11-04,2020-11-11,2020-11-18,2020-11-25,2020-12-02,2020-12-09,2020-12-16,2020-12-23,2020-12-30,2021-01-06,2021-01-13,2021-01-20,2021-01-27,2021-02-03,2021-02-10,2021-02-17,2021-02-24,2021-03-03,2021-03-10,2021-03-17,2021-03-24,2021-03-31,2021-04-07,2021-04-14,2021-04-21,2021-04-28,2021-05-05,2021-05-12,2021-05-19,2021-05-26,2021-06-02,2021-06-09,2021-06-16,2021-06-23,2021-06-30,2021-07-07,2021-07-14,2021-07-21,2021-07-28,2021-08-04,2021-08-11,2021-08-18,2021-08-25,2021-09-01,2021-09-08,2021-09-15,2021-09-22,2021-09-29,2021-10-06,2021-10-13,2021-10-20,2021-10-27,2021-11-03,2021-11-10,2021-11-17,2021-11-24,2021-12-01,2021-12-08,2021-12-15,2021-12-22,2021-12-29,2022-01-05,2022-01-12,2022-01-19,2022-01-26,2022-02-02,2022-02-09,2022-02-16,2022-02-23,2022-03-02,2022-03-09,2022-03-16,2022-03-23,2022-03-30,2022-04-06,2022-04-13,2022-04-20,2022-04-27,2022-05-04,2022-05-11,2022-05-18,2022-05-25,2022-06-01,2022-06-08,2022-06-15,2022-06-22,2022-06-29,2022-07-06,2022-07-13,2022-07-20,2022-07-27,2022-08-03,2022-08-10,2022-08-17,2022-08-24,2022-08-31,2022-09-07,2022-09-14,2022-09-21,2022-09-28,2022-10-05,2022-10-12,2022-10-19,2022-10-26,2022-11-02,2022-11-09,2022-11-16,2022-11-23,2022-11-30,2022-12-07,2022-12-14,2022-12-21,2022-12-28
Autauga,AL,1001,55869,2.59,3.15,3.15,1.82,1.61,1.61,1.61,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.35000000000000003,0.56,0.91,0.9800000000000001,0.9800000000000001,1.61,1.61,1.05,1.82,2.4499999999999997,2.66,2.66,1.82,1.68,1.47,1.82,2.17,2.17,4.55,4.48,5.6000000000000005,6.37,5.390000000000001,5.81,3.8500000000000005,2.8699999999999997,3.36,3.36,2.31,2.17,1.82,1.82,1.33,1.33,1.33,0.7000000000000001,0.7000000000000001,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.14,0.14,0.14,0.21,0.21,0.91,0.9800000000000001,0.9800000000000001,3.5,4.83,4.97,4.41,4.48,3.5,1.68,1.68,1.82,2.03,1.82,1.82,1.33,0.84,0.84,0.7000000000000001,0.84,0.91,0.91,1.33,2.31,4.06,4.34,7.0,7.909999999999999,7.700000000000001,6.79,4.06,3.36,1.54,1.33,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,0.14,0.14,0.14,0.14,0.14,0.56,0.56,0.56,0.49000000000000005,0.56,0.56,0.56,0.49000000000000005,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.21,0.28,0.28,0.28,0.28,0.28,0.28
Baldwin,AL,1003,223234,0.49000000000000005,0.84,2.3800000000000003,2.66,4.41,4.06,3.8500000000000005,4.55,4.83,3.36,3.5,2.31,2.1,4.06,4.55,4.55,4.97,4.27,4.27,5.67,14.42,12.67,11.83,10.92,12.39,7.0,6.79,8.12,14.700000000000001,13.58,17.290000000000003,19.11,21.209999999999997,14.91,14.42,9.38,8.049999999999999,6.79,6.79,6.79,1.82,1.4000000000000001,1.26,1.4000000000000001,1.8900000000000001,1.8900000000000001,1.26,1.12,1.12,0.84,0.84,0.84,1.61,2.17,2.4499999999999997,2.59,4.41,5.95,8.75,11.9,14.42,16.45,25.13,27.16,28.21,26.88,20.790000000000003,15.61,9.87,10.5,10.08,8.12,8.12,3.36,2.4499999999999997,1.12,1.12,0.84,2.8699999999999997,2.94,3.5,3.8500000000000005,5.04,5.67,5.95,7.0,7.700000000000001,8.68,8.61,7.630000000000001,5.390000000000001,3.01,3.01,1.61,1.61,1.61,0.49000000000000005,0.42,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.14,0.49000000000000005,0.49000000000000005,0.84,0.91,0.91,0.91,2.24,2.17,2.3800000000000003,3.01,2.73,3.01,2.59,2.17,2.17,2.17,2.17,2.17,2.17,0.14,0.14,0.35000000000000003,0.35000000000000003
Barbour,AL,1005,24686,0.49000000000000005,0.7000000000000001,0.7000000000000001,0.91,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.28,0.28,0.28,0.28,0.28,0.14,0.14,2.52,2.3800000000000003,2.3800000000000003,4.97,4.97,1.1900000000000002,1.1900000000000002,1.12,1.47,1.8900000000000001,2.17,2.66,2.66,2.59,2.59,1.26,1.26,0.84,0.84,0.84,0.84,0.42,0.42,0.42,0.42,0.56,0.77,0.77,0.77,0.42,0.42,0.42,0.42,0.42,0.21,0.21,0.56,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.56,0.84,0.91,1.12,1.82,1.82,1.82,1.61,1.61,0.91,0.91,0.91,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.49000000000000005,0.49000000000000005,1.4000000000000001,1.47,1.4000000000000001,2.1,2.1,1.12,1.12,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.14,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.0,0.0,0.0,0.0,0.0
Bibb,AL,1007,22394,0.21,0.21,0.21,0.7000000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.91,1.1900000000000002,1.1900000000000002,0.77,0.7000000000000001,0.7000000000000001,0.91,1.12,1.12,1.12,1.05,0.9800000000000001,0.9800000000000001,4.83,4.41,5.53,5.53,5.25,2.24,2.24,2.24,1.75,1.61,1.47,1.9600000000000002,2.31,2.1,2.1,2.1,2.1,2.1,2.1,0.14,0.42,0.56,0.56,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.21,0.21,0.21,0.21,0.49000000000000005,0.42,0.49000000000000005,0.63,1.05,1.12,1.82,2.24,2.66,2.66,2.31,2.31,2.31,1.54,1.68,1.68,1.1900000000000002,1.1900000000000002,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.14,0.14,0.28,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.7000000000000001,0.42,0.42,0.42,0.42,0.63,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0
Blount,AL,1009,57826,0.14,0.0,0.49000000000000005,0.49000000000000005,0.91,0.91,1.05,1.68,1.68,1.75,1.8900000000000001,1.8900000000000001,0.84,2.17,2.31,2.31,2.31,3.5700000000000003,2.3800000000000003,2.8000000000000003,3.01,4.48,3.22,4.62,4.760000000000001,4.48,6.58,7.700000000000001,7.630000000000001,8.4,8.54,9.59,8.4,6.79,3.71,3.71,1.26,1.26,1.05,1.33,1.33,1.26,1.33,1.47,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,0.0,0.0,0.0,0.21,0.21,0.63,0.63,0.84,1.4000000000000001,1.4000000000000001,2.17,3.9899999999999998,4.62,5.739999999999999,5.53,5.6000000000000005,4.13,3.36,3.15,3.36,3.15,3.15,3.15,1.47,1.1900000000000002,1.1900000000000002,1.68,2.03,1.61,2.03,2.17,2.4499999999999997,2.8000000000000003,2.8699999999999997,3.71,3.36,3.8500000000000005,4.41,4.41,3.08,2.8699999999999997,2.8699999999999997,2.8699999999999997,2.8699999999999997,2.8699999999999997,2.8699999999999997,0.14,0.14,0.28,0.28,0.28,0.49000000000000005,0.42,0.42,0.42,0.42,0.77,0.91,0.91,0.91,0.84,0.77,0.9800000000000001,1.1900000000000002,1.1900000000000002,1.1900000000000002,1.1900000000000002,1.1900000000000002,1.1900000000000002,1.1900000000000002,1.1900000000000002,0.0,0.21,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.49000000000000005
Bullock,AL,1011,10101,1.33,0.63,0.63,0.63,0.63,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.14,0.42,0.42,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.56,0.56,0.56,0.56,0.42,0.42,0.42,0.42,0.42,1.61,1.61,1.1900000000000002,1.1900000000000002,0.63,0.91,0.91,1.61,1.61,1.61,1.61,0.84,0.84,0.84,0.84,0.84,0.21,0.21,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.21,0.28,0.28,0.28,0.28,0.42,0.42,0.28,0.28,0.28,0.28,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.28,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.42,0.63,0.63,0.63,0.49000000000000005,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butler,AL,1013,19448,1.26,1.75,1.82,1.82,1.75,1.75,1.75,1.75,0.35000000000000003,0.35000000000000003,0.28,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.21,0.21,0.49000000000000005,0.56,0.56,0.77,3.01,2.8699999999999997,2.94,2.94,1.61,1.61,1.12,1.1900000000000002,1.1900000000000002,1.1900000000000002,1.1900000000000002,1.1900000000000002,1.1900000000000002,0.14,0.28,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.14,0.14,0.14,0.14,0.14,0.56,0.7000000000000001,0.77,1.82,2.03,3.36,3.5,2.73,2.73,1.47,1.9600000000000002,1.33,1.33,1.05,1.05,0.56,0.56,0.56,0.56,0.56,0.21,0.7000000000000001,0.91,1.05,1.12,2.59,2.52,2.94,3.01,2.73,2.1,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0
Calhoun,AL,1015,113605,0.28,0.28,0.28,1.33,2.1,3.7800000000000002,3.64,6.37,5.88,5.88,3.29,3.8500000000000005,1.61,3.5,3.7800000000000002,3.9200000000000004,4.2,6.16,7.42,11.479999999999999,13.51,14.209999999999999,11.62,6.79,7.700000000000001,6.79,14.0,13.37,17.290000000000003,17.36,17.849999999999998,13.58,16.310000000000002,11.9,12.6,9.94,5.88,4.13,5.109999999999999,3.08,2.1,2.1,0.91,1.33,1.82,2.31,2.31,2.17,2.17,1.54,1.61,1.26,1.26,1.12,1.12,0.77,1.12,2.24,3.9200000000000004,4.55,4.41,6.09,10.29,15.33,17.290000000000003,20.37,22.33,18.060000000000002,14.209999999999999,14.209999999999999,10.29,9.450000000000001,5.25,4.69,1.82,1.75,2.52,2.52,3.01,2.94,4.06,5.04,6.09,7.909999999999999,7.840000000000001,7.630000000000001,7.21,8.12,7.42,6.58,5.81,4.41,4.55,3.29,3.29,3.29,1.33,0.84,0.84,0.84,0.84,0.84,0.9800000000000001,0.9800000000000001,1.05,1.26,1.26,1.26,1.05,1.1900000000000002,1.1900000000000002,1.1900000000000002,0.84,1.61,2.03,2.52,2.31,2.8000000000000003,2.8000000000000003,1.82,1.82,1.82,0.63,0.63,0.63,0.63,0.21,0.7000000000000001,0.7000000000000001
Chambers,AL,1017,33254,1.1900000000000002,1.54,2.1,2.1,2.1,2.1,0.42,0.42,0.56,0.63,0.63,0.63,0.42,0.42,0.42,0.77,0.77,0.77,0.77,1.12,0.7000000000000001,1.4000000000000001,1.68,1.8900000000000001,2.4499999999999997,2.59,2.3800000000000003,2.17,2.8000000000000003,3.5,5.18,5.95,6.58,7.42,6.58,4.55,3.71,1.82,2.24,2.31,2.31,2.31,1.61,1.61,1.61,1.61,0.21,0.21,0.28,0.28,0.28,0.28,0.35000000000000003,0.35000000000000003,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,1.4000000000000001,1.68,2.1,1.8900000000000001,2.17,2.17,1.33,1.33,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.42,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.21,0.35000000000000003,0.35000000000000003,0.35000000000000003,1.4000000000000001,2.17,2.03,2.59,2.4499999999999997,2.4499999999999997,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.0,0.0,0.0,0.21,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.28,0.28,0.28,0.28,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0
Cherokee,AL,1019,26196,1.12,1.12,0.21,0.21,0.28,0.28,0.35000000000000003,0.84,0.84,1.1900000000000002,1.26,1.26,1.26,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.35000000000000003,0.35000000000000003,0.42,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.9600000000000002,0.49000000000000005,1.12,1.1900000000000002,1.26,1.47,2.73,2.73,1.54,0.84,1.1900000000000002,1.1900000000000002,1.1900000000000002,0.9800000000000001,0.9800000000000001,0.42,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.0,0.0,0.0,0.49000000000000005,0.49000000000000005,0.63,0.63,0.63,0.42,0.42,0.42,0.42,0.42,0.49000000000000005,0.9800000000000001,1.12,1.12,2.17,2.17,1.05,1.05,1.05,1.05,0.56,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.42,0.42,0.42,0.49000000000000005,0.49000000000000005,0.77,0.84,2.24,2.24,2.17,2.24,2.24,1.68,1.68,1.68,1.68,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
