County,State,FIPS,Population
Autauga,AL,1001,55869
Baldwin,AL,1003,223234
Barbour,AL,1005,24686
Bibb,AL,1007,22394
Blount,AL,1009,57826
Bullock,AL,1011,10101
Butler,AL,1013,19448
Calhoun,AL,1015,113605
Chambers,AL,1017,33254
Cherokee,AL,1019,26196
Chilton,AL,1021,44428
Choctaw,AL,1023,12589
Clarke,AL,1025,23622
Clay,AL,1027,13235
Cleburne,AL,1029,14910
Coffee,AL,1031,52342
Colbert,AL,1033,55241
Conecuh,AL,1035,12067
Coosa,AL,1037,10663
Covington,AL,1039,37049
Crenshaw,AL,1041,13772
Cullman,AL,1043,83768
Dale,AL,1045,49172
Dallas,AL,1047,37196
DeKalb,AL,1049,71513
Elmore,AL,1051,81209
Escambia,AL,1053,36633
Etowah,AL,1055,102268
Fayette,AL,1057,16302
Franklin,AL,1059,31362
Geneva,AL,1061,26271
Greene,AL,1063,8111
Hale,AL,1065,14651
Henry,AL,1067,17205
Houston,AL,1069,105882
Jackson,AL,1071,51626
Jefferson,AL,1073,658573
Lamar,AL,1075,13805
Lauderdale,AL,1077,92729
Lawrence,AL,1079,32924
Lee,AL,1081,164542
Limestone,AL,1083,98915
Lowndes,AL,1085,9726
Macon,AL,1087,18068
Madison,AL,1089,372909
Marengo,AL,1091,18863
Marion,AL,1093,29709
Marshall,AL,1095,96774
Mobile,AL,1097,413210
Monroe,AL,1099,20733
Montgomery,AL,1101,226486
Morgan,AL,1103,119679
Perry,AL,1105,8923
Pickens,AL,1107,19930
Pike,AL,1109,33114
Randolph,AL,1111,22722
Russell,AL,1113,57961
St. Clair,AL,1115,89512
Shelby,AL,1117,217702
Sumter,AL,1119,12427
Talladega,AL,1121,79978
Tallapoosa,AL,1123,40367
Tuscaloosa,AL,1125,209355
Walker,AL,1127,63521
Washington,AL,1129,16326
Wilcox,AL,1131,10373
Winston,AL,1133,23629
Aleutians East Borough,AK,2013,3337
Aleutians West Census Area,AK,2016,5634
Anchorage,AK,2020,288000
Bethel Census Area,AK,2050,18386
Denali Borough,AK,2068,2097
Dillingham Census Area,AK,2070,4916
Fairbanks North Star Borough,AK,2090,96849
Haines Borough,AK,2100,2530
Juneau City and Borough,AK,2110,31974
Kenai Peninsula Borough,AK,2122,58708
Ketchikan Gateway Borough,AK,2130,13901
Kodiak Island Borough,AK,2150,12998
Kusilvak Census Area,AK,2158,8314
Matanuska-Susitna Borough,AK,2170,108317
Nome Census Area,AK,2180,10004
North Slope Borough,AK,2185,9832
Northwest Arctic Borough,AK,2188,7621
Petersburg Borough,AK,2195,3266
Prince of Wales-Hyder Census Area,AK,2198,6203
Sitka City and Borough,AK,2220,8493
Southeast Fairbanks Census Area,AK,2240,6893
Valdez-Cordova Census Area,AK,2261,9202
Wrangell City and Borough,AK,2275,2502
Yukon-Koyukuk Census Area,AK,2290,5230
Bristol Bay plus Lake and Peninsula,AK,36061,2428
Apache,AZ,4001,71887
Cochise,AZ,4003,125922
Coconino,AZ,4005,143476
Gila,AZ,4007,54018
Graham,AZ,4009,38837
Greenlee,AZ,4011,9498
La Paz,AZ,4012,21108
Maricopa,AZ,4013,4485414
Mohave,AZ,4015,212181
Navajo,AZ,4017,110924
Pima,AZ,4019,1047279
Pinal,AZ,4021,462789
Santa Cruz,AZ,4023,46498
Yavapai,AZ,4025,235099
Yuma,AZ,4027,213787
Arkansas,AR,5001,17486
Ashley,AR,5003,19657
Baxter,AR,5005,41932
Benton,AR,5007,279141
Boone,AR,5009,37432
Bradley,AR,5011,10763
Calhoun,AR,5013,5189
Carroll,AR,5015,28380
Chicot,AR,5017,10118
Clark,AR,5019,22320
Clay,AR,5021,14551
Cleburne,AR,5023,24919
Cleveland,AR,5025,7956
Columbia,AR,5027,23457
Conway,AR,5029,20846
Craighead,AR,5031,110332
Crawford,AR,5033,63257
Crittenden,AR,5035,47955
Cross,AR,5037,16419
Dallas,AR,5039,7009
Desha,AR,5041,11361
Drew,AR,5043,18219
Faulkner,AR,5045,126007
Franklin,AR,5047,17715
Fulton,AR,5049,12477
Garland,AR,5051,99386
Grant,AR,5053,18265
Greene,AR,5055,45325
Hempstead,AR,5057,21532
Hot Spring,AR,5059,33771
Howard,AR,5061,13202
Independence,AR,5063,37825
Izard,AR,5065,13629
Jackson,AR,5067,16719
Jefferson,AR,5069,66824
Johnson,AR,5071,26578
Lafayette,AR,5073,6624
Lawrence,AR,5075,16406
Lee,AR,5077,8857
Lincoln,AR,5079,13024
Little River,AR,5081,12259
Logan,AR,5083,21466
Lonoke,AR,5085,73309
Madison,AR,5087,16576
Marion,AR,5089,16694
Miller,AR,5091,43257
Mississippi,AR,5093,40651
Monroe,AR,5095,6701
Montgomery,AR,5097,8986
Nevada,AR,5099,8252
Newton,AR,5101,7753
Ouachita,AR,5103,23382
Perry,AR,5105,10455
Phillips,AR,5107,17782
Pike,AR,5109,10718
Poinsett,AR,5111,23528
Polk,AR,5113,19964
Pope,AR,5115,64072
Prairie,AR,5117,8062
Pulaski,AR,5119,391911
Randolph,AR,5121,17958
St. Francis,AR,5123,24994
Saline,AR,5125,122437
Scott,AR,5127,10281
Searcy,AR,5129,7881
Sebastian,AR,5131,127827
Sevier,AR,5133,17007
Sharp,AR,5135,17442
Stone,AR,5137,12506
Union,AR,5139,38682
Van Buren,AR,5141,16545
Washington,AR,5143,239187
White,AR,5145,78753
Woodruff,AR,5147,6320
Yell,AR,5149,21341
Alameda,CA,6001,1671329
Alpine,CA,6003,1129
Amador,CA,6005,39752
Butte,CA,6007,219186
Calaveras,CA,6009,45905
Colusa,CA,6011,21547
Contra Costa,CA,6013,1153526
Del Norte,CA,6015,27812
El Dorado,CA,6017,192843
Fresno,CA,6019,999101
Glenn,CA,6021,28393
Humboldt,CA,6023,135558
Imperial,CA,6025,181215
Inyo,CA,6027,18039
Kern,CA,6029,900202
Kings,CA,6031,152940
Lake,CA,6033,64386
